Image Name,No of Obj,Watershed Arcs Removal,Waterfall,Ward Linkage,Weighted Linkage,MorphACWE,Iterated Watershed
0677845-r1-067-32_a,1,0.2471,0.2814,0.477,0.4249,0.4032,0.3194
100_0109,1,0.6206,0.8475,0.4783,0.5234,0.5356,0.3412
100_0497,1,0.3706,0.3712,0.3576,0.3019,0.513,0.3263
110016671724,1,0.1918,0.238,0.0096,0.0009,0.0105,0.0246
112255696146,1,0.253,0.2398,0.2107,0.0377,0.1904,0.1893
113334665744,1,0.4732,0.3956,0.4745,0.5174,0.6618,0.6127
114591144943,1,0.5516,0.5242,0.2633,0.2304,0.2981,0.4916
20060319_087,1,0.2254,0.8465,0.091,0.1083,0.1155,0.005
aaa,1,0.0954,0.1541,0.0022,0.001,0.0022,0.0678
animal_5_bg_020803,1,0.3608,0.4011,0.1073,0.0884,0.1875,0.0219
b14pavel013,1,0.451,0.4599,0.2839,0.2109,0.2985,0.1529
b19objects118,1,0.3247,0.32,0.2415,0.3062,0.3026,0.5733
b1chesnuttame,1,0.2586,0.2893,0.0324,0.0168,0.0299,0.0562
b1snake001,1,0.302,0.2659,0.0714,0.0912,0.1168,0.0647
b20nature_landscapes129,1,0.3606,0.4024,0.1524,0.1589,0.1536,0.0148
b2chopper008,1,0.6537,0.6433,0.7292,0.7203,0.7597,0.7491
b2pods001,1,0.2655,0.2353,0.0141,0.0262,0.0293,0.0053
b4nature_animals_land009,1,0.1582,0.1526,0.0505,0.0094,0.0535,0.033
b7nature_trees002,1,0.3531,0.231,0.3144,0.4185,0.4294,0.1425
bbmf_lancaster_july_06,1,0.2855,0.1518,0.8862,0.7478,0.0893,0.8035
beltaine_4_bg_050502,1,0.3468,0.3425,0.3058,0.7822,0.294,0.065
boy_float_lake,1,0.0505,0.0496,0.0451,0.0515,0.052,0.2188
bream_in_basin,1,0.7641,0.6334,0.5106,0.311,0.2091,0.7127
broom07,1,0.4958,0.6089,0.0792,0.0933,0.3405,0.3187
buggy_005,1,0.1827,0.1739,0.3249,0.1625,0.2695,0.1312
bw4,1,0.6609,0.6304,0.5775,0.5983,0.6121,0.5317
carriage,1,0.1281,0.1319,0.0574,0.0386,0.0721,0.0229
carrigafoyle_castle_ext,1,0.5099,0.417,0.1859,0.2654,0.1532,0.5417
caterpiller,1,0.1151,0.0669,0.0014,0.0028,0.0059,0.001
chain98,1,0.6747,0.7047,0.5317,0.5682,0.5198,0.2115
chaom38,1,0.3656,0.2773,0.1774,0.1782,0.1785,0.1782
cheeky_penguin,1,0.2241,0.2197,0.0042,0.0026,0.0076,0.0883
crw_0384,1,0.7727,0.3154,0.173,0.1468,0.1235,0.322
culzeancastle,1,0.2651,0.1358,0.2771,0.0526,0.0308,0.1521
dsc01236,1,0.1943,0.176,0.0003,0.0107,0.004,0.0003
dsc01239_d,1,0.1104,0.2536,0.0205,0.0174,0.0176,0.0467
dsc04575,1,0.8705,0.876,0.8064,0.7327,0.1163,0.9216
dscf0034_l,1,0.24,0.2686,0.0218,0.0006,0.0248,0.1774
dscf0459,1,0.1397,0.1794,0.065,0.099,0.0675,0.0051
dscf3583,1,0.5614,0.6115,0.3361,0.1307,0.1327,0.3277
dscf3623,1,0.0693,0.0841,0.0006,0.0014,0.0013,0.3423
dscf3772,1,0.2922,0.3081,0.0577,0.0366,0.05,0.0013
dscn0756,1,0.1732,0.1994,0.067,0.0888,0.0158,0.3146
dscn1908,1,0.2975,0.2375,0.4721,0.2846,0.4461,0.4873
dscn2064,1,0.3772,0.1756,0.2771,0.2743,0.0961,0.0786
dscn2154,1,0.1576,0.2015,0.0014,0.0054,0.0084,0.2158
dscn6805,1,0.2738,0.3128,0.0042,0.0627,0.0841,0.1938
dsc_0769,1,0.678,0.6312,0.0894,0.0306,0.0945,0.0085
dsc_0959,1,0.4706,0.5412,0.2225,0.2433,0.3202,0.2785
dsc_422910022,1,0.5187,0.5477,0.3866,0.3866,0.4219,0.6933
egret_face,1,0.532,0.8834,0.6577,0.8638,0.8174,0.7588
estb_img_6461_,1,0.4123,0.3865,0.4493,0.0245,0.1942,0.096
europe_holiday_484,1,0.7947,0.7994,0.6413,0.4009,0.6676,0.0552
fullicewater,1,0.3706,0.386,0.284,0.29,0.3492,0.0002
hot_air_balloons_05,1,0.4823,0.5136,0.257,0.2514,0.2409,0.077
hpim1242,1,0.0861,0.0891,0.0074,0.0959,0.0071,0.0352
hpim5083_morguefile,1,0.2057,0.2176,0.2679,0.3606,0.2619,0.332
imagen_072__1_,1,0.6776,0.6849,0.6033,0.407,0.5747,0.0647
imgp2712,1,0.4606,0.2677,0.4284,0.0002,0.0298,0.4669
img_1516,1,0.3355,0.2197,0.0012,0.0175,0.0011,0.0185
img_1965,1,0.6798,0.675,0.7038,0.7188,0.6809,0.7588
img_2528,1,0.3209,0.2764,0.0504,0.0273,0.0518,0.1345
img_2577,1,0.2322,0.1862,0.412,0.0727,0.4858,0.5037
img_2592_f,1,0.2736,0.3396,0.1939,0.1801,0.2028,0.0454
img_3083_modif,1,0.4201,0.4326,0.4929,0.3795,0.5043,0.0003
img_3803,1,0.2573,0.2831,0.2543,0.2018,0.2546,0.2223
img_4214,1,0.212,0.2107,0.0546,0.0225,0.0814,0.0803
img_4730_modif,1,0.3712,0.2469,0.5179,0.1813,0.5635,0.7368
img_7359_copia,1,0.5394,0.4811,0.7489,0.3808,0.6017,0.1535
ireland_62_bg_061502,1,0.2199,0.261,0.0673,0.0072,0.1958,0.0487
kconnors030466,1,0.3667,0.2967,0.239,0.3097,0.2758,0.0017
leafpav,1,0.5594,0.8555,0.7585,0.28,0.776,0.0003
london_zoo3,1,0.1849,0.1856,0.1445,0.2551,0.2235,0.4945
matsumt060102_dyj08,1,0.2912,0.3002,0.0576,0.0552,0.06,0.0581
mexico3,1,0.4427,0.3663,0.3187,0.1295,0.3221,0.3238
moth061304_0679,1,0.894,0.3304,0.6433,0.2961,0.5512,0.8269
nitpix_p1280114,1,0.2831,0.311,0.8891,0.7072,0.9153,0.9494
osaka060102_dyjsn071,1,0.6126,0.6989,0.4341,0.4611,0.6008,0.233
oscar2005_05_07,1,0.4452,0.4147,0.8665,0.6862,0.7916,0.7712
outside_guggenheim_walls,1,0.918,0.6813,0.9182,0.9137,0.9487,0.0002
palovigna,1,0.5675,0.5921,0.2644,0.2991,0.324,0.163
pic0203vn0092,1,0.3608,0.4003,0.4249,0.0987,0.4478,0.5116
pic0203vn0105,1,0.411,0.4881,0.1576,0.1588,0.1645,0.0142
pic106470172014,1,0.2694,0.3122,0.0157,0.0031,0.0255,0.0132
pic1080629574,1,0.3711,0.4854,0.4175,0.1898,0.4419,0.0259
pic109250805856,1,0.4783,0.5071,0.6125,0.6872,0.6278,0.8334
pic1092515922117,1,0.2268,0.1985,0.185,0.4701,0.2088,0.5816
pict2272,1,0.9126,0.9198,0.0905,0.0427,0.1045,0.243
pict2605,1,0.3675,0.7965,0.3735,0.4197,0.4717,0.3767
picture_458,1,0.7039,0.7107,0.5968,0.4571,0.2801,0.3155
postjp,1,0.3435,0.3062,0.295,0.0667,0.2799,0.0587
redberry_rb03,1,0.4408,0.5084,0.5838,0.6582,0.6598,0.7107
san_andres_130,1,0.175,0.19,0.1459,0.0138,0.1319,0.0097
sg_01_img_1943_tratada,1,0.4608,0.3592,0.1174,0.1384,0.1083,0.1537
sharp_image,1,0.4003,0.5232,0.3469,0.3683,0.4743,0.3908
skookumchuk_starfish1,1,0.1484,0.1913,0.0456,0.0477,0.0938,0.0002
snow2_004,1,0.1727,0.2314,0.2646,0.2571,0.3529,0.6527
tendrils,1,0.1585,0.159,0.036,0.0261,0.0873,0.0821
windowcn_0078,1,0.4249,0.3855,0.0131,0.1417,0.1249,0.6718
yokohm060409_dyjsn191,1,0.3093,0.2454,0.0996,0.0968,0.113,0.0133
00000155,2,0.1732,0.2586,0.0161,0.0123,0.0142,0.0392
000_4009,2,0.2523,0.2648,0.0087,0.0089,0.0263,0.211
100_1219,2,0.6411,0.702,0.7759,0.0576,0.8298,0.8659
109300481333,2,0.7182,0.8507,0.2724,0.2425,0.1608,0.3246
110932821430,2,0.2539,0.3003,0.1393,0.087,0.1053,0.1645
111876273311,2,0.7951,0.6844,0.7722,0.8044,0.8235,0.548
112224059330,2,0.6173,0.4617,0.6882,0.3578,0.7968,0.9354
11257554021,2,0.19,0.1734,0.3127,0.1116,0.2555,0.469
2_horses_cropped,2,0.3693,0.3353,0.0682,0.1283,0.0917,0.365
77200701,2,0.2878,0.2466,0.7708,0.7589,0.7517,0.7627
alanmort_p1010058,2,0.5707,0.6636,0.5659,0.7294,0.7082,0.3889
atlasredstone,2,0.8608,0.595,0.2517,0.139,0.2046,0.343
b10mechanics037,2,0.8059,0.8145,0.0937,0.0296,0.2209,0.4233
b10nature_trees000,2,0.8292,0.6449,0.73,0.493,0.7603,0.5691
b13vehicles_land000,2,0.2576,0.2783,0.3615,0.3598,0.4177,0.4771
b17leon000,2,0.0312,0.0345,0.0168,0.4895,0.007,0.4433
b17maartent719,2,0.1423,0.1271,0.0318,0.2886,0.014,0.833
b17maartent850,2,0.3274,0.3221,0.1059,0.1616,0.1759,0.2455
b17paul1444,2,0.6541,0.5622,0.3502,0.3246,0.365,0.617
b19nature_trees071,2,0.4777,0.4301,0.591,0.5259,0.65,0.4264
b20vehicles_water065,2,0.1275,0.1259,0.0911,0.0596,0.0908,0.6769
b7nature_animals_sea000,2,0.3651,0.3953,0.4156,0.2455,0.4956,0.3945
b8vehicles_water015,2,0.1306,0.1119,0.0514,0.1576,0.0537,0.2996
b9vehicles_air015,2,0.6403,0.6546,0.7585,0.7149,0.7124,0.188
b9vehicles_air016,2,0.4927,0.0921,0.8261,0.8086,0.0625,0.5826
b9vehicles_air018_cropped,2,0.7036,0.5351,0.4772,0.2504,0.4842,0.4738
babyandmom,2,0.3854,0.6689,0.1079,0.0507,0.1274,0.4144
birdhouse_003,2,0.2521,0.2097,0.0358,0.0121,0.0459,0.0027
bi_planes,2,0.0516,0.0551,0.0369,0.0456,0.0519,0.1001
black_and_white,2,0.8228,0.6471,0.1524,0.1466,0.168,0.7995
black_an_white,2,0.2199,0.2034,0.0065,0.0376,0.0142,0.2758
boatscn2174,2,0.5384,0.498,0.8019,0.794,0.823,0.5673
by_the_north_sea15,2,0.592,0.6454,0.5554,0.5319,0.7103,0.7431
chaom69,2,0.3099,0.3619,0.734,0.5292,0.8281,0.5475
cocotort,2,0.417,0.3757,0.2122,0.1577,0.2394,0.2991
crw_5052,2,0.2298,0.2137,0.0017,0.002,0.003,0.2034
decorwall,2,0.5011,0.4631,0.5246,0.5739,0.6183,0.7118
dsc00103_h,2,0.1208,0.307,0.0019,0.488,0.0019,0.8235
dscf1479_c,2,0.6419,0.6112,0.9596,0.9582,0.954,0.6877
dscf3208a,2,0.2732,0.4205,0.7224,0.8569,0.7974,0.485
dscn0969,2,0.3827,0.3501,0.0212,0.2736,0.3374,0.4714
dscn1205_cropped,2,0.462,0.5968,0.9185,0.6072,0.9272,0.9383
dscn5449,2,0.2735,0.2732,0.4983,0.4858,0.0154,0.1474
dsc_18501299,2,0.7561,0.7275,0.9065,0.9123,0.8867,0.6422
dsc_7742,2,0.4125,0.5565,0.4071,0.372,0.5149,0.0767
dualwindows,2,0.5512,0.4488,0.385,0.0851,0.4798,0.5898
eagle052607__20_,2,0.5748,0.6986,0.8428,0.0419,0.7771,0.3792
elke_p9270005,2,0.4211,0.4166,0.0231,0.011,0.0014,0.049
fair_gforce_003,2,0.4267,0.6456,0.5529,0.3004,0.6,0.4806
fishing_on_water,2,0.2138,0.1443,0.0814,0.1824,0.0752,0.4109
footprints10morguejpg,2,0.4562,0.3511,0.6902,0.7021,0.7079,0.5619
frankfurt_img_2243,2,0.4412,0.391,0.094,0.0931,0.1121,0.3066
frosty_thyme,2,0.2697,0.3107,0.1146,0.0461,0.1297,0.001
hotblack_20070901_cows,2,0.5495,0.5243,0.2953,0.2458,0.0006,0.8233
hpim0242_cropped,2,0.1195,0.1337,0.0531,0.013,0.0735,0.6957
hpim1928,2,0.2964,0.7524,0.1298,0.1154,0.1285,0.1183
imgp1883,2,0.1017,0.1255,0.0606,0.0764,0.0793,0.1437
img_0121,2,0.6618,0.6266,0.3045,0.3148,0.3475,0.2487
img_1159_i,2,0.0806,0.0824,0.0446,0.0527,0.0676,0.1048
img_3733_modif,2,0.103,0.0956,0.041,0.0465,0.0364,0.3406
img_7103r,2,0.7449,0.7657,0.5297,0.4695,0.486,0.4449
img_7121sepiar,2,0.7329,0.7377,0.799,0.1474,0.902,0.8286
istambulminaret,2,0.3243,0.3443,0.082,0.2201,0.059,0.1898
jarndt_100_0021,2,0.5103,0.5219,0.3051,0.3055,0.309,0.2592
kata_beach_phuket,2,0.2938,0.2259,0.7206,0.7206,0.0705,0.3304
kumarnm_100_1263,2,0.0524,0.0376,0.0048,0.0117,0.0009,0.0078
mf_3379,2,0.0905,0.1169,0.4386,0.4241,0.5549,0.2728
mont_st_michel,2,0.5277,0.7119,0.4176,0.5231,0.5155,0.1124
moon_and_a_tree,2,0.4106,0.3534,0.528,0.0434,0.4931,0.4662
ninetyeight,2,0.7049,0.7805,0.8161,0.8232,0.8218,0.5876
nopeeking,2,0.2213,0.2275,0.071,0.0238,0.0791,0.2279
p5014757_cropped,2,0.6398,0.7328,0.8307,0.8307,0.8864,0.5031
p5067537,2,0.1465,0.17,0.518,0.5783,0.1265,0.6076
pb134930,2,0.1398,0.1518,0.1416,0.0354,0.0696,0.6656
pc250176,2,0.1931,0.1471,0.0984,0.1188,0.097,0.272
pc302982,2,0.7839,0.788,0.9432,0.935,0.9537,0.9573
per__02_cropped,2,0.0872,0.1255,0.3282,0.5424,0.4629,0.3494
photo-026,2,0.2968,0.3684,0.9293,0.9332,0.9243,0.3281
photo_sanary_19-03-05_083,2,0.5975,0.3505,0.6859,0.2419,0.2066,0.4543
pic1077114394,2,0.846,0.7061,0.6224,0.1961,0.1876,0.111
pic108459418417,2,0.3864,0.3921,0.9269,0.0014,0.9289,0.6381
pic108891392790,2,0.7804,0.7747,0.4817,0.2885,0.4752,0.6515
pic1091719254143,2,0.0604,0.0528,0.0723,0.0331,0.0574,0.0607
pic1092554512177,2,0.3769,0.2729,0.3312,0.0293,0.3485,0.2049
reverendb_563667_59178524,2,0.7395,0.6475,0.3125,0.3125,0.3374,0.6628
rollingroscoe__9231871,2,0.5375,0.5484,0.6648,0.2599,0.2035,0.3712
roman-pot-31-01-07-02842,2,0.3108,0.3768,0.0262,0.0757,0.0086,0.173
sakurag060521_dysn34,2,0.8619,0.7196,0.774,0.0191,0.8262,0.4399
sh-med-bandages-082404-01,2,0.9367,0.8434,0.862,0.8885,0.8688,0.5414
sunday_6-24_003,2,0.8555,0.7879,0.8275,0.7653,0.859,0.867
swan_and_friend,2,0.3182,0.307,0.4632,0.5315,0.5125,0.4414
thailand-bangkok-building_02,2,0.6831,0.7371,0.4881,0.4706,0.5305,0.3815
toplessmonument,2,0.0564,0.0594,0.0085,0.0118,0.023,0.0619
whitby-pier,2,0.2646,0.2645,0.0266,0.0013,0.0015,0.1161
yack1,2,0.2878,0.5463,0.8011,0.3909,0.8056,0.3975
yokohm060409_dyjsn266,2,0.7167,0.7451,0.9434,0.0002,0.3072,0.9422
_3076180_cropped,2,0.8129,0.694,0.6257,0.5354,0.5934,0.6883
_3076180_cropped2,2,0.7934,0.5693,0.5747,0.5322,0.584,0.527
_5161812,2,0.6434,0.1864,0.6733,0.6872,0.6813,0.5694
_mg_5707,2,0.2843,0.1325,0.8432,0.847,0.8425,0.4922
